datetime,direction,pivot,tp1,tp2,pivot_hit_time,tp1_hit_time,tp2_hit_time,tp1_hit,tp2_hit,tp1_within_2h,tp2_within_2h,time_to_tp1,time_to_tp2,distance_pivot_to_tp1,distance_pivot_to_tp2,hour_of_day
2025-05-01 04:00:00,bull,20189.646465,20186.363636,20225.757576,2025-05-01 04:02:00,2025-05-01 04:02:00,2025-05-01 04:52:00,True,True,True,True,0.0,3000.0,3.282829000003403,36.111110999998346,4
2025-05-01 08:00:00,bear,20151.010101,20155.555556,20060.606061,2025-05-01 08:00:00,2025-05-01 08:00:00,2025-05-01 08:59:00,True,True,True,True,0.0,3540.0,4.545454999999492,90.40404000000126,8
2025-05-01 14:00:00,bear,20178.282828,20211.111111,20058.333333,2025-05-01 14:10:00,2025-05-01 14:18:00,2025-05-01 14:59:00,True,True,True,True,480.0,2940.0,32.82828299999892,119.94949500000075,14
2025-05-01 15:00:00,bear,20058.333333,20078.535354,19956.818182,2025-05-01 15:01:00,2025-05-01 15:01:00,2025-05-01 15:07:00,True,True,True,True,0.0,360.0,20.20202100000097,101.5151509999996,15
2025-05-02 01:00:00,bear,20141.919192,20150.252525,20083.838384,2025-05-02 01:00:00,2025-05-02 01:00:00,2025-05-02 01:36:00,True,True,True,True,0.0,2160.0,8.333332999998674,58.080808000002435,1
2025-05-02 03:00:00,bear,20102.020202,20103.030303,20067.424242,2025-05-02 03:00:00,2025-05-02 03:00:00,2025-05-02 03:59:00,True,True,True,True,0.0,3540.0,1.0101009999998496,34.59595999999874,3
2025-05-02 09:00:00,bull,20344.69697,20275.757576,20384.59596,2025-05-02 09:10:00,,2025-05-02 09:30:00,False,True,False,True,,1200.0,68.9393940000009,39.898989999997866,9
2025-05-02 10:00:00,bull,20384.59596,20369.69697,20411.111111,2025-05-02 10:15:00,2025-05-02 10:20:00,2025-05-02 10:59:00,True,True,True,True,300.0,2640.0,14.898989999997866,26.515150999999605,10
2025-05-02 11:00:00,bull,20411.111111,20401.010101,20470.707071,2025-05-02 11:01:00,2025-05-02 11:01:00,2025-05-02 11:37:00,True,True,True,True,0.0,2160.0,10.101009999998496,59.59596000000238,11
2025-05-02 14:00:00,bear,20402.777778,20425.0,20355.808081,2025-05-02 14:04:00,2025-05-02 14:16:00,2025-05-02 14:49:00,True,True,True,True,720.0,2700.0,22.22222200000033,46.96969700000045,14
2025-05-04 17:00:00,bear,20381.313131,20385.353535,20311.363636,2025-05-04 17:00:00,2025-05-04 17:00:00,2025-05-04 17:54:00,True,True,True,True,0.0,3240.0,4.040403999999398,69.94949500000075,17
2025-05-04 18:00:00,bear,20311.363636,20316.919192,20255.050505,2025-05-04 18:00:00,2025-05-04 18:00:00,2025-05-04 18:46:00,True,True,True,True,0.0,2760.0,5.55555600000298,56.313130999998975,18
2025-05-04 20:00:00,bear,20270.454545,20305.555556,20193.434343,2025-05-04 20:11:00,,2025-05-04 20:58:00,False,True,False,True,,2820.0,35.101010999998834,77.0202019999997,20
2025-05-05 00:00:00,bull,20262.121212,20240.151515,20275.505051,2025-05-05 00:01:00,,2025-05-05 00:36:00,False,True,False,True,,2100.0,21.969696999996813,13.383839000001899,0
2025-05-05 02:00:00,bear,20262.626263,20264.646465,20239.393939,2025-05-05 02:00:00,2025-05-05 02:00:00,2025-05-05 02:17:00,True,True,True,True,0.0,1020.0,2.020202000003337,23.23232399999688,2
2025-05-05 08:00:00,bull,20214.393939,20206.313131,20273.737374,2025-05-05 08:01:00,2025-05-05 08:05:00,2025-05-05 08:57:00,True,True,True,True,240.0,3360.0,8.080808000002435,59.34343499999886,8
2025-05-05 09:00:00,bull,20273.737374,20261.868687,20318.434343,2025-05-05 09:00:00,2025-05-05 09:00:00,2025-05-05 09:57:00,True,True,True,True,0.0,3420.0,11.868687000001955,44.696969000000536,9
2025-05-05 11:00:00,bull,20327.272727,20305.30303,20350.252525,2025-05-05 11:06:00,,2025-05-05 11:50:00,False,True,False,True,,2640.0,21.96969700000045,22.9797980000003,11
2025-05-05 14:00:00,bear,20341.666667,20355.555556,20247.222222,2025-05-05 14:00:00,2025-05-05 14:00:00,2025-05-05 14:54:00,True,True,True,True,0.0,3240.0,13.888888999998017,94.444445000001,14
2025-05-05 15:00:00,bear,20247.222222,20268.181818,20204.292929,2025-05-05 15:01:00,,2025-05-05 15:35:00,False,True,False,True,,2040.0,20.9595960000006,42.92929300000105,15
2025-05-05 19:00:00,bear,20207.070707,20210.858586,20177.020202,2025-05-05 19:00:00,2025-05-05 19:00:00,2025-05-05 19:43:00,True,True,True,True,0.0,2580.0,3.7878789999995206,30.050504999999248,19
2025-05-06 00:00:00,bear,20154.79798,20175.0,20113.888889,2025-05-06 00:18:00,,2025-05-06 00:58:00,False,True,False,True,,2400.0,20.20202000000063,40.909090999997716,0
2025-05-06 03:00:00,bear,20094.444444,20103.535354,20032.323232,2025-05-06 03:00:00,2025-05-06 03:00:00,2025-05-06 03:31:00,True,True,True,True,0.0,1860.0,9.090909999998985,62.12121200000183,3
2025-05-06 08:00:00,bear,20003.030303,20040.909091,19946.464646,2025-05-06 08:16:00,2025-05-06 08:32:00,2025-05-06 08:55:00,True,True,True,True,960.0,2340.0,37.878788000001805,56.56565699999919,8
2025-05-06 09:00:00,bull,20064.646465,19957.070707,20139.141414,2025-05-06 09:17:00,,2025-05-06 09:46:00,False,True,False,True,,1740.0,107.57575800000268,74.4949489999999,9
2025-05-06 11:00:00,bear,20086.111111,20096.717172,20060.858586,2025-05-06 11:09:00,2025-05-06 11:09:00,2025-05-06 11:59:00,True,True,True,True,0.0,3000.0,10.606061000002228,25.252524999999878,11
2025-05-06 15:00:00,bear,20071.464646,20076.767677,20009.090909,2025-05-06 15:00:00,2025-05-06 15:00:00,2025-05-06 15:29:00,True,True,True,True,0.0,1740.0,5.303030999999464,62.37373700000171,15
2025-05-06 17:00:00,bull,20106.565657,20009.090909,20337.121212,2025-05-06 17:00:00,2025-05-06 17:00:00,2025-05-06 17:07:00,True,True,True,True,0.0,420.0,97.47474800000055,230.555554999999,17
